Mark,Competitor,DOB,Nat,Venue,Date
1:43.51,Djamel SEDJATI,03 May 1999,ALG,"Mestský Stadion, Ostrava (CZE)",28 May 2024
1:43.53,Marco AROP,20 Sep 1998,CAN,"Complexe Sportif Claude-Robillard, Montréal (CAN)",28 Jun 2024
1:43.55,Aaron Kemei CHEMININGWA,21 Jun 1998,KEN,"Campo di Atletica, Asti (ITA)",23 May 2024
1:43.57,Emmanuel WANYONYI,01 Aug 2004,KEN,"Nyayo National Stadium, Nairobi (KEN)",20 Apr 2024
1:43.61,Marco AROP,20 Sep 1998,CAN,"Egret Stadium, Xiamen (CHN)",20 Apr 2024
1:43.64,Hobbs KESSLER,15 Mar 2003,USA,"Hayward Field, Eugene, OR (USA)",30 Jun 2024
1:43.66,Wyclife KINYAMAL,02 Jul 1997,KEN,"Egret Stadium, Xiamen (CHN)",20 Apr 2024
1:43.66,Andreas KRAMER,13 Apr 1997,SWE,"Stade Charléty, Paris (FRA)",07 Jul 2024
1:43.68,Bryce HOPPEL,05 Sep 1997,USA,"Drake Stadium, Los Angeles, CA (USA)",18 May 2024
1:43.69,Mohamed ATTAOUI,26 Sep 2001,ESP,"Stade de France, Paris (FRA)",09 Aug 2024
1:43.71,Hobbs KESSLER,15 Mar 2003,USA,"Hayward Field, Eugene, OR (USA)",28 Jun 2024
1:43.71,Marco AROP,20 Sep 1998,CAN,"Complexe Sportif Claude-Robillard, Montréal (CAN)",29 Jun 2024
1:43.72,Eliott CRESTAN,22 Feb 1999,BEL,"Stade de France, Paris (FRA)",09 Aug 2024
1:43.73,Brandon MILLER,30 Jan 2002,USA,"Hayward Field, Eugene, OR (USA)",28 Jun 2024
1:43.74,Alex Ngeno KIPNGETICH,17 Aug 2000,KEN,"Nyayo National Stadium, Nairobi (KEN)",15 Jun 2024
1:43.75,Catalin TECUCEANU,09 Sep 1999,ITA,"Stade Louis II, Monaco (MON)",12 Jul 2024
1:43.79,Azeddine HABZ,19 Jul 1993,FRA,"Stade Charléty, Paris (FRA)",07 Jul 2024
1:43.80,Josh HOEY,01 Nov 1999,USA,"Sportcentrum Wembley, Kortrijk (BEL)",13 Jul 2024
1:43.84,Emmanuel WANYONYI,01 Aug 2004,KEN,"Le Grand Stade, Marrakech (MAR)",19 May 2024
1:43.84,Max BURGIN,20 May 2002,GBR,"Stade de France, Paris (FRA)",10 Aug 2024
1:43.88,Tshepiso MASALELA,25 May 1999,BOT,"Egret Stadium, Xiamen (CHN)",20 Apr 2024
1:43.94,Kethobogile HAINGURA,14 Dec 1998,BOT,"Bestmed Tuks Stadium, Pretoria (RSA)",18 Mar 2024
1:43.95,Benjamin ROBERT,04 Jan 1998,FRA,"Stade Louis II, Monaco (MON)",12 Jul 2024
1:43.97,Brandon MILLER,30 Jan 2002,USA,"Hayward Field, Eugene, OR (USA)",30 Jun 2024
1:43.98,Wyclife KINYAMAL,02 Jul 1997,KEN,"Le Grand Stade, Marrakech (MAR)",19 May 2024
1:43.99,Gabriel TUAL,09 Apr 1998,FRA,"Stade Josette et Roger Mikulak, Angers (FRA)",30 Jun 2024
1:44.01,Catalin TECUCEANU,09 Sep 1999,ITA,"Campo di Atletica, Asti (ITA)",23 May 2024
1:44.01,Bryce HOPPEL,05 Sep 1997,USA,"Hayward Field, Eugene, OR (USA)",28 Jun 2024
1:44.02,Isaiah JEWETT,06 Feb 1997,USA,"Drake Stadium, Los Angeles, CA (USA)",18 May 2024
1:44.04,James PRESTON,08 May 1997,NZL,"TSV Stadion, Pfungstadt (GER)",25 May 2024
1:44.07,Alex Ngeno KIPNGETICH,17 Aug 2000,KEN,"Nyayo National Stadium, Nairobi (KEN)",06 Mar 2024
1:44.07,Catalin TECUCEANU,09 Sep 1999,ITA,"Stade Olympique de la Pontaise, Lausanne (SUI)",22 Aug 2024
1:44.08,Andreas KRAMER,13 Apr 1997,SWE,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",20 Jun 2024
1:44.10,Aaron Kemei CHEMININGWA,21 Jun 1998,KEN,"Nyayo National Stadium, Nairobi (KEN)",20 Apr 2024
1:44.10,Jake WIGHTMAN,11 Jul 1994,GBR,"Drake Stadium, Los Angeles, CA (USA)",18 May 2024
1:44.10,Festus LAGAT,10 Oct 1996,KEN,"George Mason Stadium, Fairfax, VA (USA)",12 Aug 2024
1:44.11,Peyton CRAIG,28 Mar 2005,AUS,"Stade de France, Paris (FRA)",09 Aug 2024
1:44.12,Peyton CRAIG,28 Mar 2005,AUS,"LAZ Wien, Wien (AUT)",22 Jun 2024
1:44.12,Josh HOEY,01 Nov 1999,USA,"Hayward Field, Eugene, OR (USA)",30 Jun 2024
1:44.13,Yanis MEZIANE,26 Jan 2002,FRA,"Le Grand Stade, Marrakech (MAR)",19 May 2024
1:44.14,Tshepiso MASALELA,25 May 1999,BOT,"Le Grand Stade, Marrakech (MAR)",19 May 2024
1:44.21,Brandon MILLER,30 Jan 2002,USA,"Stade de France, Paris (FRA)",08 Aug 2024
1:44.22,Catalin TECUCEANU,09 Sep 1999,ITA,"Stadion Śląski, Chorzów (POL)",18 May 2024
1:44.22,Edmund DU PLESSIS,05 Apr 2002,RSA,"Morton Stadium, Dublin (IRL)",12 Jul 2024
1:44.22,Josh HOEY,01 Nov 1999,USA,"Percy Beard Track, Gainesville, FL (USA)",19 Jul 2024
1:44.24,Aaron Kemei CHEMININGWA,21 Jun 1998,KEN,"Nyayo National Stadium, Nairobi (KEN)",06 Mar 2024
1:44.24,Brandon MILLER,30 Jan 2002,USA,"Drake Stadium, Los Angeles, CA (USA)",18 May 2024
1:44.25,Corentin LE CLEZIO,24 Sep 1999,FRA,"LAZ Wien, Wien (AUT)",22 Jun 2024
1:44.28,Eliott CRESTAN,22 Feb 1999,BEL,"Estadio Vallehermoso, Madrid (ESP)",21 Jun 2024
1:44.29,Bryce HOPPEL,05 Sep 1997,USA,"Olympiastadion, Stockholm (SWE)",02 Jun 2024
1:44.30,Benjamin ROBERT,04 Jan 1998,FRA,"Stade Charléty, Paris (FRA)",07 Jul 2024
1:44.32,Jonah KOECH,12 Dec 1996,USA,"Hayward Field, Eugene, OR (USA)",30 Jun 2024
1:44.32,Elliot GILES,26 May 1994,GBR,"Stade Olympique de la Pontaise, Lausanne (SUI)",22 Aug 2024
1:44.37,Mohamed Ali GOUANED,05 Jul 2002,ALG,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",20 Jun 2024
1:44.37,Mohamed Ali GOUANED,05 Jul 2002,ALG,"Stade de France, Paris (FRA)",08 Aug 2024
1:44.41,Adrián BEN,04 Aug 1998,ESP,"Estadio Vallehermoso, Madrid (ESP)",21 Jun 2024
1:44.42,Mohamed Ali GOUANED,05 Jul 2002,ALG,"Stadion Śląski, Chorzów (POL)",18 May 2024
1:44.43,Gabriel TUAL,09 Apr 1998,FRA,"Stade Raymond Petit, Tomblaine (FRA)",25 May 2024
1:44.44,Tshepiso MASALELA,25 May 1999,BOT,"Olympiastadion, Stockholm (SWE)",02 Jun 2024
1:44.44,Ben PATTISON,15 Dec 2001,GBR,"Olympiastadion, Stockholm (SWE)",02 Jun 2024
1:44.44,Abraham ALVARADO,04 Aug 1995,USA,"Hayward Field, Eugene, OR (USA)",28 Jun 2024
1:44.46,Sam WHITMARSH,18 Oct 2002,USA,"LSU Bernie Moore Stadium, Baton Rouge, LA (USA)",30 Mar 2024
1:44.46,Elliot GILES,26 May 1994,GBR,"Stade Delort, Marseille (FRA)",22 May 2024
1:44.46,Pieter SISK,08 Dec 1999,BEL,"Boudewijnstadion, Bruxelles (BEL)",25 May 2024
1:44.46,Elliot GILES,26 May 1994,GBR,"Stade Raymond Petit, Tomblaine (FRA)",25 May 2024
1:44.47,Jonah KOECH,12 Dec 1996,USA,"Hayward Field, Eugene, OR (USA)",28 Jun 2024
1:42.80,Emmanuel WANYONYI,01 Aug 2004,KEN,"Hayward Field, Eugene, OR (USA)",17 Sep 2023
1:42.85,Marco AROP,20 Sep 1998,CAN,"Hayward Field, Eugene, OR (USA)",17 Sep 2023
1:43.06,Djamel SEDJATI,03 May 1999,ALG,"Hayward Field, Eugene, OR (USA)",17 Sep 2023
1:43.20,Emmanuel WANYONYI,01 Aug 2004,KEN,"Egret Stadium, Xiamen (CHN)",02 Sep 2023
1:43.22,Wyclife KINYAMAL,02 Jul 1997,KEN,"Stade Louis II, Monaco (MON)",21 Jul 2023
1:43.24,Marco AROP,20 Sep 1998,CAN,"Egret Stadium, Xiamen (CHN)",02 Sep 2023
1:43.27,Emmanuel WANYONYI,01 Aug 2004,KEN,"Stade Charléty, Paris (FRA)",09 Jun 2023
1:43.30,Marco AROP,20 Sep 1998,CAN,"Stade Charléty, Paris (FRA)",09 Jun 2023
1:43.32,Emmanuel WANYONYI,01 Aug 2004,KEN,"Moi International Sports Centre, Kasarani, Nairobi (KEN)",13 May 2023
1:43.38,Slimane MOULA,25 Feb 1999,ALG,"Stade Charléty, Paris (FRA)",09 Jun 2023
1:43.40,Djamel SEDJATI,03 May 1999,ALG,"Stade Charléty, Paris (FRA)",09 Jun 2023
1:43.40,Slimane MOULA,25 Feb 1999,ALG,"Stade Louis II, Monaco (MON)",21 Jul 2023
1:43.48,Benjamin ROBERT,04 Jan 1998,FRA,"Stade Charléty, Paris (FRA)",09 Jun 2023
1:43.51,Marco AROP,20 Sep 1998,CAN,"Stade Louis II, Monaco (MON)",21 Jul 2023
1:43.56,Wyclife KINYAMAL,02 Jul 1997,KEN,"Stade Charléty, Paris (FRA)",09 Jun 2023
1:43.60,Djamel SEDJATI,03 May 1999,ALG,"Boudewijnstadion, Bruxelles (BEL)",08 Sep 2023
1:43.66,Wyclife KINYAMAL,02 Jul 1997,KEN,"Moi International Sports Centre, Kasarani, Nairobi (KEN)",13 May 2023
1:43.83,Emmanuel WANYONYI,01 Aug 2004,KEN,"Nemzeti Atlétikai Központ, Budapest (HUN)",24 Aug 2023
1:43.85,Max BURGIN,20 May 2002,GBR,"Olympic Stadium, London (GBR)",23 Jul 2023
1:43.88,Djamel SEDJATI,03 May 1999,ALG,"Stade Louis II, Monaco (MON)",21 Jul 2023
1:43.88,Benjamin ROBERT,04 Jan 1998,FRA,"Egret Stadium, Xiamen (CHN)",02 Sep 2023
1:43.90,Azeddine HABZ,19 Jul 1993,FRA,"Stade Charléty, Paris (FRA)",09 Jun 2023
1:43.92,Adrián BEN,04 Aug 1998,ESP,"Nemzeti Atlétikai Központ, Budapest (HUN)",24 Aug 2023
1:43.93,Slimane MOULA,25 Feb 1999,ALG,"Nemzeti Atlétikai Központ, Budapest (HUN)",24 Aug 2023
1:43.94,Yanis MEZIANE,26 Jan 2002,FRA,"Boudewijnstadion, Bruxelles (BEL)",08 Sep 2023
1:43.94,Yanis MEZIANE,26 Jan 2002,FRA,"Hayward Field, Eugene, OR (USA)",17 Sep 2023
1:43.95,Daniel ROWDEN,09 Sep 1997,GBR,"Stade Louis II, Monaco (MON)",21 Jul 2023
1:43.95,Bryce HOPPEL,05 Sep 1997,USA,"Stade Louis II, Monaco (MON)",21 Jul 2023
1:43.99,Joseph DENG,07 Jul 1998,AUS,"Stade Raymond Troussier, Decines (FRA)",08 Jul 2023
1:44.02,Ben PATTISON,15 Dec 2001,GBR,"Olympic Stadium, London (GBR)",23 Jul 2023
1:44.02,Marco AROP,20 Sep 1998,CAN,"Nemzeti Atlétikai Központ, Budapest (HUN)",24 Aug 2023
1:44.03,Tshepiso MASALELA,25 May 1999,BOT,"Boudewijnstadion, Bruxelles (BEL)",08 Sep 2023
1:44.04,Bryce HOPPEL,05 Sep 1997,USA,"Nemzeti Atlétikai Központ, Budapest (HUN)",24 Aug 2023
1:44.04,Wyclife KINYAMAL,02 Jul 1997,KEN,"Egret Stadium, Xiamen (CHN)",02 Sep 2023
1:44.07,Kelvin Kimtai LOTI,05 Oct 1999,KEN,"Estadi Joan Serrahima, Barcelona (ESP)",05 Jul 2023
1:44.09,Emmanuel WANYONYI,01 Aug 2004,KEN,"Nyayo National Stadium, Nairobi (KEN)",08 Jul 2023
1:44.12,Daniel ROWDEN,09 Sep 1997,GBR,"Boudewijnstadion, Bruxelles (BEL)",08 Sep 2023
1:44.14,Tshepiso MASALELA,25 May 1999,BOT,"Nemzeti Atlétikai Központ, Budapest (HUN)",24 Aug 2023
1:44.21,Alex Ngeno KIPNGETICH,17 Aug 2000,KEN,"Nyayo National Stadium, Nairobi (KEN)",08 Jul 2023
1:44.21,Daniel ROWDEN,09 Sep 1997,GBR,"Hayward Field, Eugene, OR (USA)",17 Sep 2023
1:44.23,Ben PATTISON,15 Dec 2001,GBR,"Nemzeti Atlétikai Központ, Budapest (HUN)",24 Aug 2023
1:44.24,Marco AROP,20 Sep 1998,CAN,"Nemzeti Atlétikai Központ, Budapest (HUN)",26 Aug 2023
1:44.26,Will SUMNER,22 Oct 2003,USA,"Mike A. Myers Stadium, Austin, TX (USA)",09 Jun 2023
1:44.27,Djamel SEDJATI,03 May 1999,ALG,"Stade des Grands Pêchers, Montreuil (FRA)",31 May 2023
1:44.27,Daniel ROWDEN,09 Sep 1997,GBR,"Egret Stadium, Xiamen (CHN)",02 Sep 2023
1:44.28,Yanis MEZIANE,26 Jan 2002,FRA,"Egret Stadium, Xiamen (CHN)",02 Sep 2023
1:44.29,Peter BOL,22 Feb 1994,AUS,"Estadi Joan Serrahima, Barcelona (ESP)",05 Jul 2023
1:44.29,Daniel ROWDEN,09 Sep 1997,GBR,"Stadio G. Teghil, Lignano Sabbiadoro (ITA)",14 Jul 2023
1:44.30,Yanis MEZIANE,26 Jan 2002,FRA,"Stade Louis II, Monaco (MON)",21 Jul 2023
1:44.30,Mateusz BORKOWSKI,02 Apr 1997,POL,"Nemzeti Atlétikai Központ, Budapest (HUN)",24 Aug 2023
1:44.30,Yanis MEZIANE,26 Jan 2002,FRA,"Nemzeti Atlétikai Központ, Budapest (HUN)",24 Aug 2023
1:44.32,Ben PATTISON,15 Dec 2001,GBR,"Boudewijnstadion, Bruxelles (BEL)",08 Sep 2023
1:44.34,Simone BARONTINI,05 Jan 1999,ITA,"Nemzeti Atlétikai Központ, Budapest (HUN)",24 Aug 2023
1:44.35,Emmanuel WANYONYI,01 Aug 2004,KEN,"Stade Louis II, Monaco (MON)",21 Jul 2023
1:44.35,Mohamed ATTAOUI,26 Sep 2001,ESP,"Nemzeti Atlétikai Központ, Budapest (HUN)",24 Aug 2023
1:44.36,Emmanuel WANYONYI,01 Aug 2004,KEN,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",28 May 2023
1:44.37,Bryce HOPPEL,05 Sep 1997,USA,"Boudewijnstadion, Bruxelles (BEL)",08 Sep 2023
1:44.38,Benjamin ROBERT,04 Jan 1998,FRA,"Nemzeti Atlétikai Központ, Budapest (HUN)",24 Aug 2023
1:44.38,Wyclife KINYAMAL,02 Jul 1997,KEN,"Boudewijnstadion, Bruxelles (BEL)",08 Sep 2023
1:44.40,Benjamin ROBERT,04 Jan 1998,FRA,"Paavo Nurmen Stadion, Turku (FIN)",13 Jun 2023
1:44.46,Gabriel TUAL,09 Apr 1998,FRA,"Estadio Vallehermoso, Madrid (ESP)",22 Jul 2023
1:44.47,Mohamed Ali GOUANED,05 Jul 2002,ALG,"Stade d'Athlétisme Hautepierre, Strasbourg (FRA)",16 Jun 2023
1:44.48,Joseph DENG,07 Jul 1998,AUS,"Stade d'Athlétisme Hautepierre, Strasbourg (FRA)",16 Jun 2023
1:44.48,Peter BOL,22 Feb 1994,AUS,"Bregyó Athletic Center, Székesfehérvár (HUN)",18 Jul 2023
1:44.49,Djamel SEDJATI,03 May 1999,ALG,"Nemzeti Atlétikai Központ, Budapest (HUN)",24 Aug 2023
1:44.50,Simone BARONTINI,05 Jan 1999,ITA,"Stadio M.S. Cozzoli, Molfetta (ITA)",30 Jul 2023
1:44.52,Abdelati EL GUESSE,27 Feb 1993,MAR,"Stedelijke Atletiekpiste, Ninove (BEL)",22 Jul 2023
1:44.53,Tibo DE SMET,28 May 1999,BEL,"Stedelijke Atletiekpiste, Ninove (BEL)",22 Jul 2023
1:44.53,Emmanuel WANYONYI,01 Aug 2004,KEN,"Nemzeti Atlétikai Központ, Budapest (HUN)",26 Aug 2023
1:44.54,Saúl ORDÓÑEZ,10 Apr 1994,ESP,"Egret Stadium, Xiamen (CHN)",02 Sep 2023
1:44.55,Bryce HOPPEL,05 Sep 1997,USA,"Icahn Stadium, New York, NY (USA)",24 Jun 2023
1:44.55,Gabriel TUAL,09 Apr 1998,FRA,"Bregyó Athletic Center, Székesfehérvár (HUN)",18 Jul 2023
1:44.55,Abdelati EL GUESSE,27 Feb 1993,MAR,"Nemzeti Atlétikai Központ, Budapest (HUN)",24 Aug 2023
1:44.57,Andreas KRAMER,13 Apr 1997,SWE,"Nemzeti Atlétikai Központ, Budapest (HUN)",24 Aug 2023
1:44.59,Djamel SEDJATI,03 May 1999,ALG,"Olympiastadion, Stockholm (SWE)",02 Jul 2023
1:44.63,Bryce HOPPEL,05 Sep 1997,USA,"Hayward Field, Eugene, OR (USA)",17 Sep 2023
1:44.64,Marco AROP,20 Sep 1998,CAN,"McLeod Stadium, Langley (CAN)",29 Jul 2023
1:44.65,Edose IBADIN,27 Feb 1993,NGR,"Thomas O. Berg Track, Washington, DC (USA)",30 Jul 2023
1:44.65,Gabriel TUAL,09 Apr 1998,FRA,"Egret Stadium, Xiamen (CHN)",02 Sep 2023
1:44.67,Saúl ORDÓÑEZ,10 Apr 1994,ESP,"Olympiastadion, Stockholm (SWE)",02 Jul 2023
1:44.67,Mohamed ATTAOUI,26 Sep 2001,ESP,"Estadi Joan Serrahima, Barcelona (ESP)",05 Jul 2023
1:44.70,Jesus Tonatiu LOPEZ,02 Aug 1997,MEX,"Pistes d'atletisme Gaetà Huguet, Castellón (ESP)",14 Jun 2023
1:44.70,Cornelius TUWEI,24 May 1993,KEN,"Estadio Vallehermoso, Madrid (ESP)",22 Jul 2023
1:44.70,Navasky ANDERSON,21 Jan 2000,JAM,"Thomas O. Berg Track, Washington, DC (USA)",30 Jul 2023
1:44.71,Ferguson Cheruiyot ROTICH,30 Nov 1989,KEN,"Nyayo National Stadium, Nairobi (KEN)",08 Jul 2023
1:44.72,Adrián BEN,04 Aug 1998,ESP,"Estadio Vallehermoso, Madrid (ESP)",22 Jul 2023
1:44.73,Wyclife KINYAMAL,02 Jul 1997,KEN,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",28 May 2023
1:44.74,Tom DRADRIGA,17 Jun 1996,UGA,"Estadio Vallehermoso, Madrid (ESP)",22 Jul 2023
1:44.74,Saúl ORDÓÑEZ,10 Apr 1994,ESP,"Nemzeti Atlétikai Központ, Budapest (HUN)",24 Aug 2023
1:44.75,Clayton MURPHY,26 Feb 1995,USA,"Drake Stadium, Los Angeles, CA (USA)",27 May 2023
1:44.75,Alex BOTTERILL,18 Jan 2000,GBR,"Olympic Stadium, London (GBR)",23 Jul 2023
1:44.78,Yanis MEZIANE,26 Jan 2002,FRA,"Stade Charléty, Paris (FRA)",09 Jun 2023
1:44.78,Niels LAROS,17 Apr 2005,NED,"Stade Louis II, Monaco (MON)",21 Jul 2023
1:44.79,Adrián BEN,04 Aug 1998,ESP,"Estadi Joan Serrahima, Barcelona (ESP)",05 Jul 2023
1:44.79,Catalin TECUCEANU,09 Sep 1999,ITA,"Nemzeti Atlétikai Központ, Budapest (HUN)",24 Aug 2023
1:44.80,Tom DRADRIGA,17 Jun 1996,UGA,"Pistes d'atletisme Gaetà Huguet, Castellón (ESP)",14 Jun 2023
1:44.80,Guy LEARMONTH,20 Apr 1992,GBR,"Olympic Stadium, London (GBR)",23 Jul 2023
1:44.83,Gabriel TUAL,09 Apr 1998,FRA,"Nemzeti Atlétikai Központ, Budapest (HUN)",24 Aug 2023
1:44.83,Ben PATTISON,15 Dec 2001,GBR,"Nemzeti Atlétikai Központ, Budapest (HUN)",26 Aug 2023
1:44.84,Saúl ORDÓÑEZ,10 Apr 1994,ESP,"Boudewijnstadion, Bruxelles (BEL)",08 Sep 2023
1:43.26,Emmanuel Kipkurui KORIR,15 Jun 1995,KEN,"Letzigrund, Zürich (SUI)",08 Sep 2022
1:43.38,Marco AROP,20 Sep 1998,CAN,"Letzigrund, Zürich (SUI)",08 Sep 2022
1:43.52,Max BURGIN,20 May 2002,GBR,"Paavo Nurmen Stadion, Turku (FIN)",14 Jun 2022
1:43.54,Wyclife KINYAMAL,02 Jul 1997,KEN,"Moi International Sports Centre, Kasarani, Nairobi (KEN)",25 Jun 2022
1:43.61,Marco AROP,20 Sep 1998,CAN,"Foote Field, Edmonton (CAN)",03 Jul 2022
1:43.65,Jake WIGHTMAN,11 Jul 1994,GBR,"Boudewijnstadion, Bruxelles (BEL)",02 Sep 2022
1:43.69,Moad ZAHAFI,09 May 1998,MAR,"Percy Beard Track, Gainesville, FL (USA)",16 Apr 2022
1:43.69,Djamel SEDJATI,03 May 1999,ALG,"Stade d'Athlétisme Hautepierre, Strasbourg (FRA)",17 Jun 2022
1:43.71,Emmanuel Kipkurui KORIR,15 Jun 1995,KEN,"Hayward Field, Eugene, OR (USA)",23 Jul 2022
1:43.75,Benjamin ROBERT,04 Jan 1998,FRA,"Stade Charléty, Paris (FRA)",18 Jun 2022
1:44.00,Peter BOL,22 Feb 1994,AUS,"Stade Charléty, Paris (FRA)",18 Jun 2022
1:44.01,Emmanuel WANYONYI,01 Aug 2004,KEN,"Moi International Sports Centre, Kasarani, Nairobi (KEN)",25 Jun 2022
1:44.05,Djamel SEDJATI,03 May 1999,ALG,"Stade Raymond Troussier, Decines (FRA)",11 Jun 2022
1:44.05,Elias NGENY,04 May 1996,KEN,"Moi International Sports Centre, Kasarani, Nairobi (KEN)",25 Jun 2022
1:44.06,Yassine HETHAT,30 Aug 1991,ALG,"Stade d'Athlétisme Hautepierre, Strasbourg (FRA)",17 Jun 2022
1:44.10,Jake WIGHTMAN,11 Jul 1994,GBR,"Letzigrund, Zürich (SUI)",08 Sep 2022
1:44.12,Djamel SEDJATI,03 May 1999,ALG,"Boudewijnstadion, Bruxelles (BEL)",02 Sep 2022
1:44.12,Emmanuel Kipkurui KORIR,15 Jun 1995,KEN,"Boudewijnstadion, Bruxelles (BEL)",02 Sep 2022
1:44.14,Tony VAN DIEPEN,17 Apr 1996,NED,"Stade Charléty, Paris (FRA)",18 Jun 2022
1:44.14,Djamel SEDJATI,03 May 1999,ALG,"Hayward Field, Eugene, OR (USA)",23 Jul 2022
1:44.15,Emmanuel WANYONYI,01 Aug 2004,KEN,"Mestský Stadion, Ostrava (CZE)",31 May 2022
1:44.19,Slimane MOULA,25 Feb 1999,ALG,"Mestský Stadion, Ostrava (CZE)",31 May 2022
1:44.23,Gabriel TUAL,09 Apr 1998,FRA,"Stade Charléty, Paris (FRA)",18 Jun 2022
1:44.24,Tony VAN DIEPEN,17 Apr 1996,NED,"Paavo Nurmen Stadion, Turku (FIN)",14 Jun 2022
1:44.24,Eliott CRESTAN,22 Feb 1999,BEL,"Boudewijnstadion, Bruxelles (BEL)",02 Sep 2022
1:44.26,Peter BOL,22 Feb 1994,AUS,"Stadion De Veen, Heusden-Zolder (BEL)",02 Jul 2022
1:44.28,Marco AROP,20 Sep 1998,CAN,"Hayward Field, Eugene, OR (USA)",23 Jul 2022
1:44.30,Gabriel TUAL,09 Apr 1998,FRA,"Paavo Nurmen Stadion, Turku (FIN)",14 Jun 2022
1:44.31,Tony VAN DIEPEN,17 Apr 1996,NED,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",03 Jun 2022
1:44.31,Festus LAGAT,10 Oct 1996,KEN,"Moi International Sports Centre, Kasarani, Nairobi (KEN)",25 Jun 2022
